name,salary_from,salary_to,salary_currency,area_name,published_at
Системный администратор,Бишкек,30000.0,30000.0,KGS,2022-12-29T06:21:00+0300
Наладчик станков с ЧПУ,Минск,3000.0,,BYR,2022-12-29T09:41:49+0300
Копирайтер на маркетплейсы,Москва,15500.0,,RUR,2022-12-29T11:33:32+0300
Корреспондент,Томск,30000.0,,RUR,2022-12-29T09:57:08+0300
IT директор,Магнитогорск,100000.0,,RUR,2022-12-29T11:55:03+0300
Старший системный администратор (техническая поддержка),Санкт-Петербург,80000.0,,RUR,2022-12-29T11:06:19+0300
Frontend developer (React),Москва,,220000.0,RUR,2022-12-29T11:12:42+0300
Менеджер по управлению продуктом,Москва,147000.0,,RUR,2022-12-29T09:47:08+0300
Дизайнер (удаленно),Новосибирск,35000.0,,RUR,2022-12-29T07:12:03+0300
Ночной сотрудник отдела технической поддержки со знанием английского языка,Тбилиси,1000.0,1350.0,USD,2022-12-29T11:53:46+0300
Специалист технической поддержки,Домодедово,60000.0,,RUR,2022-12-29T11:33:17+0300
Помощник системного администратора (выездной инженер),Москва,70000.0,,RUR,2022-12-29T10:18:39+0300
Редактор на северные города Тюменской области,Тюмень,40000.0,50000.0,RUR,2022-12-29T09:03:14+0300
Инженер-электроник/настройщик участка опытного производства,Екатеринбург,70000.0,,RUR,2022-12-29T09:53:48+0300
Инженер по обслуживанию платежных терминалов,Иркутск,62000.0,82000.0,RUR,2022-12-29T08:24:11+0300
Ведущий аналитик в информационно-аналитический отдел,Москва,60000.0,,RUR,2022-12-29T11:56:06+0300
Аналитик / IT-Аналитик Wildberries,Москва,50000.0,130000.0,RUR,2022-12-29T10:51:43+0300
Судовой механик,Мурманск,,100000.0,RUR,2022-12-29T08:48:08+0300
Редактор,Санкт-Петербург,70000.0,,RUR,2022-12-29T10:49:00+0300
Системный администратор,Москва,100000.0,,RUR,2022-12-29T10:09:42+0300
Слесарь-сборщик РЭА и приборов,Рязань,45000.0,,RUR,2022-12-29T09:50:20+0300
Системный администратор,Дмитров,,80000.0,RUR,2022-12-29T10:22:55+0300
Сервисный инженер,Саратов,70000.0,,RUR,2022-12-29T09:56:23+0300
Системный администратор,Воронеж,55500.0,,RUR,2022-12-29T11:20:06+0300
Ретушер портретов для гравировки,Ковров,50000.0,150000.0,RUR,2022-12-29T11:33:23+0300
Сервисный инженер (инженер по автоматизации),Ульяновск,60000.0,120000.0,RUR,2022-12-29T10:16:39+0300
Токарь-универсал,Санкт-Петербург,132250.0,,RUR,2022-12-29T07:59:28+0300
Менеджер проектов,Самара,50000.0,100000.0,RUR,2022-12-29T09:59:28+0300
Начинающий лингвист-аналитик,Пермь,25000.0,,RUR,2022-12-29T08:58:30+0300
Мастер в сервисную службу (Электромонтер),Санкт-Петербург,75000.0,,RUR,2022-12-29T11:21:06+0300
PHP-разработчик (удаленно),Ростов-на-Дону,90000.0,,RUR,2022-12-29T09:21:37+0300
Учетчик,Москва,40000.0,50000.0,RUR,2022-12-29T09:56:37+0300
Контент-менеджер,Екатеринбург,50000.0,,RUR,2022-12-29T11:40:59+0300
Слесарь-наладчик (Алкогольное оборудование),Москва,180000.0,180000.0,RUR,2022-12-29T10:10:01+0300
Старший Продуктовый Дизайнер (МТС Music),Москва,250000.0,,RUR,2022-12-29T10:50:36+0300
Менеджер проектов,Новокуйбышевск,50000.0,100000.0,RUR,2022-12-29T09:59:28+0300
Помощник системного администратора,Москва,45000.0,45000.0,RUR,2022-12-29T09:52:29+0300
Инженер / Системный администратор Linux,Ставрополь,70000.0,70000.0,RUR,2022-12-29T09:39:35+0300
Senior Product Owner,Алматы,,1000000.0,KZT,2022-12-29T11:57:38+0300
Выездной Инженер ККТ/ЦТО,Москва,70000.0,,RUR,2022-12-29T10:57:23+0300
Специалист технической поддержки,Москва,35000.0,55000.0,RUR,2022-12-29T08:06:49+0300
Специалист отдела ГИНС (геоинформационных и навигационных систем),Челябинск,,60000.0,RUR,2022-12-29T07:33:48+0300
Разработчик SQL (блок риски) в Банк,Москва,230000.0,,RUR,2022-12-29T11:49:50+0300
Специалист технической поддержки,Томск,35000.0,55000.0,RUR,2022-12-29T08:32:38+0300
Оператор станка лазерной резки,Москва,55000.0,55000.0,RUR,2022-12-29T09:47:24+0300
Инженер-механик,Астана,,350000.0,KZT,2022-12-29T08:24:24+0300
Копирайтер / SMM-копирайтер,Астана,100000.0,200000.0,KZT,2022-12-29T11:46:18+0300
Директор по информационным технологиям,Санкт-Петербург,180000.0,,RUR,2022-12-29T11:03:49+0300
Ведущий системный администратор,Москва,185000.0,185000.0,RUR,2022-12-29T10:11:40+0300
DevOps-engineer (Middle),Новосибирск,150000.0,200000.0,RUR,2022-12-29T11:52:20+0300
Системный администратор (удалённо),Омск,25000.0,35000.0,RUR,2022-12-29T10:33:03+0300
"Продакт-менеджер (Екатеринбург, Санкт-Петербург, Москва)",Екатеринбург,150000.0,,RUR,2022-12-29T08:19:19+0300
Веб-мастер/Frontend-разработчик,Екатеринбург,40000.0,80000.0,RUR,2022-12-29T08:08:37+0300
Аналитик отдела сбыта,Орел,45000.0,60000.0,RUR,2022-12-29T10:49:45+0300
Помощник системного администратора,Санкт-Петербург,50000.0,,RUR,2022-12-29T09:04:29+0300
Системный администратор,Санкт-Петербург,,90000.0,RUR,2022-12-29T10:22:02+0300
Менеджер СТПК Цех мониторинга сервисов,Алматы,,309000.0,KZT,2022-12-29T10:04:45+0300
Сетевой администратор,Ташкент,,1350.0,USD,2022-12-29T06:09:31+0300
Менеджер IT-проектов,Москва,70000.0,100000.0,RUR,2022-12-29T07:01:39+0300
Главный механик,Москва,,100000.0,RUR,2022-12-29T11:41:50+0300
Онлайн-консультант,Москва,35000.0,,RUR,2022-12-29T07:37:01+0300
Слесарь-наладчик (Алкогольное оборудование),Краснодар,180000.0,180000.0,RUR,2022-12-29T10:10:46+0300
Backend разработчик,Ижевск,,90000.0,RUR,2022-12-29T11:19:27+0300
"Испытатель деталей и приборов 4,5,6 разряда (в сборочный цех)",Челябинск,60000.0,80000.0,RUR,2022-12-29T11:32:44+0300
Инженер-электронщик,Брянск,50000.0,,RUR,2022-12-29T11:12:19+0300
Инженер по защите информации (с допуском к Гостайне),Барнаул,40000.0,60000.0,RUR,2022-12-29T11:27:40+0300
"Механик ремонтно-механической мастерской, Колонный",Нижневартовск,100000.0,110000.0,RUR,2022-12-29T08:04:19+0300
Ведущий специалист отдела системного администрирования,Ковров,40000.0,,RUR,2022-12-29T10:14:16+0300
Стажер,Волгоград,80000.0,,RUR,2022-12-29T09:11:58+0300
Ученик/Веб-программист (г. Нижний Тагил),Нижний Тагил,20000.0,35000.0,RUR,2022-12-29T11:19:51+0300
Механик/Наладчик технологического оборудования,Молодечно,2000.0,,BYR,2022-12-29T07:59:44+0300
Специалист технической поддержки 1 линии,Новосибирск,40000.0,80000.0,RUR,2022-12-29T09:34:38+0300
Младший программист / стажёр (Junior) С / Linux,Москва,50000.0,70000.0,RUR,2022-12-29T08:18:37+0300
Помощник продакт-менеджера,Екатеринбург,50000.0,,RUR,2022-12-29T08:04:10+0300
Оператор станков с ЧПУ,Екатеринбург,75000.0,,RUR,2022-12-29T08:02:28+0300
Главный механик,Комсомольск-на-Амуре,88400.0,88400.0,RUR,2022-12-29T09:50:27+0300
Механик/Наладчик технологического оборудования,Минск,2000.0,,BYR,2022-12-29T07:59:44+0300
Механик по транспорту,Санкт-Петербург,50000.0,60000.0,RUR,2022-12-29T11:11:50+0300
Программист 1C/1С ERP,Алматы,1500000.0,,KZT,2022-12-29T08:36:15+0300
Системный администратор (кассовое оборудование),Тверь,50000.0,,RUR,2022-12-29T09:28:06+0300
Программист,Иркутск,40000.0,,RUR,2022-12-29T06:32:04+0300
Графический дизайнер,Омск,40000.0,50000.0,RUR,2022-12-29T08:31:09+0300
Инженер ИТ отдела / системный администратор,Вологда,35000.0,36000.0,RUR,2022-12-29T10:28:10+0300
Техник-электромеханик,Обнинск,70000.0,,RUR,2022-12-29T10:20:10+0300
